Instudy,Автомобили,"​ул. Чапаната, 10а",2.447060375
Психосфера - центр практической психологии,Автомобили,"улица Нукус, 2A",4.927505283
School of Mr Noble,Автомобили,"пр-кт Мустакиллик, 88",1.675388276
Актион МЦФЭР-У Образовательный центр,Автомобили,"улица Ойбек, 20",2.349397219
Театральная студия "ЛИК",Автомобили,"пр-т Мустакиллик, 69",4.76844289
Studio Vitt,Автомобили,"пересечение улица Фидокор и Шевченко, 10",1.200007075
Акварель,Автомобили,"улица Усмана Насыра, 140",1.6805826
Intermed Neuro,Автомобили,"ул. Авлиё-Ота, 50",2.923024502
Darmon shifo maskani,Автомобили,"ул. Феруза, 7Б, 26 кв.",3.303903146
ЖК Greenpark,Автомобили,ул. Махтумкули,4.665533348
ЖК Assalom Maxtumquli,Автомобили,ул. Махтумкули (супермаркет Makro),1.929136116
ЖК Olmos Residence,Автомобили,ул. Ахангаран йули (рынок Кадышева),3.530569829
ЖК City Lyfe,Автомобили,ул. Мукими 2/1 (бывш. ТЦ Фрунзенский),4.404604541
ЖК Huvaydo,Автомобили,ул. Ал-Хоразмий,2.617192372
ЖК Greenwich,Автомобили,ул. Янгизамон (парк Фуркат),1.143553928
Ломбард "LOBAR-KREDIT",Автомобили,16-кварталб д.11/64,3.801100225
VET YUKSALISH ЧП,Автомобили,"М-В Ялангач, 25Б",4.862540963
STENBRIDGE ФИТНЕС-ЦЕНТР,Автомобили,"ул. А.Кадыри, 1А",2.082116492
"""MY APTEKA""",Автомобили,"Ул. Ш.Руставели, 46",4.975347839
BEST KOFKA,Автомобили,unknown,2.062382875
Vet Zoo Farm (Куйлюк базар),Автомобили,"​Куйлюк-Центр микрорайон, 10а",4.525746934
Bombini Felici Сергели,Автомобили,"м-в Сергели, 8А",2.265723321
Баркамол авлод Чиланзар,Автомобили,"ул. Катта Хирмонтепа, 43А, Чиланзарский район, Ташкент",3.131480913
Knowledge treasure,Автомобили,"улица Алишера Навои, 44",4.351917216
"""AR-PARDOZ"" OOO",Автомобили,ул Мажнунтол 115,3.933014614
OQTEPA LAVASH КАФЕ Бектемирский филиал,Автомобили,"Узбекистан, Ташкент, БЕКТЕМИРСКИЙ РАЙОН, ул. ТОШКЕНТ ХАЛКА АВТОМОБИЛ ЙУЛИ, 17",4.620175618
EVOS КАФЕ Бектемирский филиал,Автомобили,"Узбекистан, Ташкент, БЕКТЕМИРСКИЙ РАЙОН, ул. ТОШКЕНТ ХАЛКА АВТОМОБИЛ ЙУЛИ, 17",4.901884222
ECO-HAN PROJECT ЧП,Автомобили,"ЯККАСАРАЙСКИЙ РАЙОН, ул. ШОТА РУСТАВЕЛИ, 15",2.038476736
MONOHROM ЧП Яшнабадский филиал,Автомобили,"Узбекистан, Ташкент, ЯШНАБАДСКИЙ РАЙОН, ул. АХСИКАТ, 176",3.939982106
TEH ТМ Алмазарский филиал,Автомобили,"Узбекистан, Ташкент, АЛМАЗАРСКИЙ РАЙОН, ул. УСТА ШИРИН, 20",2.297367318
А5 СЕТЬ АПТЕК Мирабадский филиал,Автомобили,"Узбекистан, Ташкент, МИРАБАДСКИЙ РАЙОН, ул. ЯКУБА КОЛАСА, 4",2.905676344
AKBAR-RICH СЕТЬ МАГАЗИНОВ БЕК ТУПИ,Автомобили,"Узбекистан, Ташкент, ЧИЛАНЗАРСКИЙ РАЙОН, ул. ДИЙДОР,",3.50161596
MEDIAPARK ТОРГОВЫЙ ЦЕНТР Юнусабадский филиал,Автомобили,"Узбекистан, Ташкент, ЮНУСАБАДСКИЙ РАЙОН, м-в ЮНУСАБАД-19, 119",3.068659163
SAFIA КОНДИТЕРСКИЙ ДОМ Яшнабадский филиал,Автомобили,"Узбекистан, Ташкент, ЯШНАБАДСКИЙ РАЙОН, ул. АВИАСОЗЛАР, 9",3.558272512
Promzona Agro,Автомобили,"Узбекистан, Ташкент, МИРЗО-УЛУГБЕКСКИЙ РАЙОН, просп. МУСТАКИЛЛИК, 79",2.113193731
КОСМЕТКА МАГАЗИН Мирзо-Улугбекский филиал,Автомобили,"Узбекистан, Ташкент, МИРЗО-УЛУГБЕКСКИЙ РАЙОН, ул. ЯХЪЁ ГУЛЯМОВА, 12",3.061846421
Агробанк минибанк Бек тупи,Автомобили,"Учтепинский район, Фархадский рынок, торговый комплекс, 9 блок.",4.410801981
Агробанк минибанк Хумо ,Автомобили,"Юнусабадский район, ул. А. Темура, д. 115 Б, в здании автосалона «Хумо».",4.429780874
Hamkorbank минибанк Катортол,Автомобили,"100096 Тошкент шахар Чилонзор район 5-мавзе, 46-уй, 20-хонадон",1.624621459
HAVAS СУПЕРМАРКЕТ Алмазарский филиал 4,Автомобили,"Узбекистан, Ташкент, АЛМАЗАРСКИЙ РАЙОН, м-в КАРАКАМЫШ-1/4, 2",1.323973885
HAVAS СУПЕРМАРКЕТ филиал ТТЗ-1,Автомобили,"Узбекистан, Ташкент, МИРЗО-УЛУГБЕКСКИЙ РАЙОН, м-в ТТЗ-1, 8",2.574362025
CHAGAY-PLUS ООО Юнусабадский филиал,Автомобили,"Узбекистан, Ташкент, ЮНУСАБАДСКИЙ РАЙОН, пр. 4-й ХУШНАВО, 1 Б",3.955869607
КРЕДИТ 0 ПРОЦЕНТОВ МАГАЗИН Чиланзар,Автомобили,"Узбекистан, Ташкент, ЧИЛАНЗАРСКИЙ РАЙОН, ул. ЧУПОН-ОТА,",4.938094286
PLANETA CHUDES НОУ Шайхантахурский филиал,Автомобили,"Узбекистан, Ташкент, ШАЙХАНТАХУРСКИЙ РАЙОН, м-в ОКТЕПА,",3.603696793
SHOH-PANEL ООО Мирзо-Улугбекский филиал,Автомобили,"Узбекистан, Ташкент, МИРЗО-УЛУГБЕКСКИЙ РАЙОН, ул. ПАРКЕНТСКАЯ, 131",4.981388292
Healthcare,Автомобили,ул.Мухаммада Юсуфа 28а,2.999513161
QURILISH PARDOZ SERVIS PLUS ЧП,Автомобили,"Узбекистан, Ташкент, УЧТЕПИНСКИЙ РАЙОН, ул. ФАРХАДСКАЯ, 21",2.649810994
АГЕНТСТВО ТРАНСПОРТНОЙ ЛОГИСТИКИ СЕМЕЙНОЕ ПРЕДПРИЯТИЕ,Автомобили,"Узбекистан, 100007, Ташкент, МИРЗО-УЛУГБЕКСКИЙ РАЙОН, ул. САЙРАМ, 6/1",3.895167237
BRIONI БУТИК,Автомобили,"Узбекистан, Ташкент, МИРЗО-УЛУГБЕКСКИЙ РАЙОН, просп. МУСТАКИЛЛИК, 65",4.428570155
RADIKS ООО,Автомобили,"Узбекистан, 100054, Ташкент, ЧИЛАНЗАРСКИЙ РАЙОН, ул. ЛУТФИ, 50",3.362942647
IDEAL STROY KAF ООО,Автомобили,"Узбекистан, Ташкент, МИРЗО-УЛУГБЕКСКИЙ РАЙОН, м-в КАРАСУ-3, 2",4.083942371
OOO "AUTOGRAF",Автомобили,"Яккасарайский район, Мукумий 1",1.202289817
EVS PLAST ТМ,Автомобили,"Узбекистан, 100057, Ташкент, АЛМАЗАРСКИЙ РАЙОН, туп. 1-й УСТА ШИРИН, 1/1",3.505475836
AFEX LIMITED ООО,Автомобили,"Узбекистан, 100007, Ташкент, ЯШНАБАДСКИЙ РАЙОН, ул. МАШХАДИ, 210",4.222727227
ASROR TIB SERVIS ЧАСТНАЯ КЛИНИКА,Автомобили,"Узбекистан, Ташкент, ЯККАСАРАЙСКИЙ РАЙОН, просп. БОБУРА, 73 А",4.671564252
AGROSHERIFF-ASIA ООО,Автомобили,"Узбекистан, 100060, Ташкент, МИРАБАДСКИЙ РАЙОН, ул. ТАРАСА ШЕВЧЕНКО, 34",1.483245564
HUDUDGAZ TOSHKENT SHAHAR ООО,Автомобили,"Узбекистан, Ташкент, ЯШНАБАДСКИЙ РАЙОН, ул. УЙСОЗЛАР, 72 А",4.157238334
EVRO LYUKS ООО,Автомобили,"Узбекистан, Ташкент, АЛМАЗАРСКИЙ РАЙОН, ул. УСТА ШИРИН, 134",4.934489879
AFIF ООО,Автомобили,"Узбекистан, 100022, Ташкент, ЯККАСАРАЙСКИЙ РАЙОН, ул. КУШБЕГИ, 6/8А",1.336860302
TOPSTAR TOUR ЧП,Автомобили,"Узбекистан, Ташкент, ул. КУКЧА ДАРВОЗА, 314",3.52063271
PROTECH SERVICE ООО,Автомобили,"Узбекистан, 100043, Ташкент, ЧИЛАНЗАРСКИЙ РАЙОН, ул. МУКИМИ, 20 А",1.710421466
VITAMED LIFE FARM АПТЕКА,Автомобили,"Узбекистан, 100204, Ташкент, ЯШНАБАДСКИЙ РАЙОН, ул. АВИАСОЗЛАР, 1",4.799952643
HR BAZAAR INC,Автомобили,"Узбекистан, Ташкент, ЯККАСАРАЙСКИЙ РАЙОН, ул. ШОТА РУСТАВЕЛИ, 45, офис 408",3.889111175
АДМИНИСТРАТИВНЫЙ СУД АЛМАЗАРСКОГО РАЙОНА,Автомобили,"Узбекистан, 100069, Ташкент, АЛМАЗАРСКИЙ РАЙОН, ул. АБДУРАХМАНОВА, 9",1.214045934
Z-NIYAT ООО,Автомобили,"Узбекистан, Ташкент, МИРЗО-УЛУГБЕКСКИЙ РАЙОН, м-в БУЗ-2, 4",1.832864379
IT BAZAR,Автомобили,"Узбекистан, 100000, Ташкент, АЛМАЗАРСКИЙ РАЙОН, ул. АБДУЛЛЫ КАДЫРИ, 1 А",3.095696624
ROBOKIDZ EDUCATION ШКОЛА РОБОТОТЕХНИКИ,Автомобили,"Узбекистан, 100070, Ташкент, ЯККАСАРАЙСКИЙ РАЙОН, ул. БРАТИСЛАВА, 11",1.338244847
ФЛОРА СВАДЕБНЫЙ САЛОН,Автомобили,"Узбекистан, Ташкент, ЯШНАБАДСКИЙ РАЙОН, ул. БЕШАРИК, 448/1",4.746022831
KOSOL AIR АВИАКАССА,Автомобили,"Узбекистан, 100060, Ташкент, МИРАБАДСКИЙ РАЙОН, ул. ШАХРИСАБЗ, 23",2.542200305
MITS TRAVEL ТУРИСТИЧЕСКОЕ АГЕНТСТВО,Автомобили,"Узбекистан, 100029, Ташкент, МИРАБАДСКИЙ РАЙОН, ул. БУЮК ТУРОН, 56",2.110890839
TAMANNO ASHYAN САЛОН КРАСОТЫ,Автомобили,"Узбекистан, Ташкент, ЮНУСАБАДСКИЙ РАЙОН, м-в ТАШГРЭС, 25, офис 3",3.608726691
TURON TUR LUKS ООО,Автомобили,"Узбекистан, Ташкент, МИРАБАДСКИЙ РАЙОН, просп. АМИРА ТЕМУРА, 32",3.737556954
ANGEL LUXE TRADE ООО,Автомобили,"Узбекистан, Ташкент, ЯШНАБАДСКИЙ РАЙОН, ул. ФАРГОНА ЙУЛИ, 13/31-10",3.048146875
ЛОКОМОТИВ ПАРК КУЛЬТУРЫ И ОТДЫХА,Автомобили,"Узбекистан, Ташкент, ЮНУСАБАДСКИЙ РАЙОН, ул. ТЕМУРА МАЛИКА, 66",4.055031563
AON TELEKOM ООО,Автомобили,"Узбекистан, 100015, Ташкент, ЮНУСАБАДСКИЙ РАЙОН, ул. БОГИШАМОЛ, 3/14",2.248724904
INSIGHT SOLUTIONS ООО,Автомобили,"Узбекистан, 100015, Ташкент, МИРАБАДСКИЙ РАЙОН, ул. НУКУССКАЯ, 89, офис 17",1.700330509
AL-TAIR KOMMUNAL SERVIS ТЧСЖ,Автомобили,"Узбекистан, Ташкент, МИРЗО-УЛУГБЕКСКИЙ РАЙОН, м-в АХМАДА ЮГНАКИ, 52",2.228176991
ANXOR SOHIL SERVIS ТЧСЖ,Автомобили,"Узбекистан, 100031, Ташкент, ЯККАСАРАЙСКИЙ РАЙОН, ул. РАДЖАБИ, 18",1.874619724
BAHOR-SOGDIANA-KOMMUNAL ТЧСЖ,Автомобили,"Узбекистан, 100280, Ташкент, ШАЙХАНТАХУРСКИЙ РАЙОН, ул. БАХОР, 16",3.678002673
BALLY KOMMUNAL SERVIS ТЧСЖ,Автомобили,"Узбекистан, 100105, Ташкент, МИРАБАДСКИЙ РАЙОН, ул. ЯНГИ ЗАМОН, 5",1.18531753
BELL STATUS SERVIS ТЧСЖ,Автомобили,"Узбекистан, 100015, Ташкент, МИРАБАДСКИЙ РАЙОН, ул. ОЙБЕКА, 42",2.186562682
BOG'ISHAMOL IFORI KOMMUNAL SERVIS ТЧСЖ,Автомобили,"Узбекистан, 100015, Ташкент, МИРАБАДСКИЙ РАЙОН, ул. МИРАБАДСКАЯ, 27-3 А",1.029087162
CONTAINER TRANS TERMINAL ООО,Автомобили,"Узбекистан, 100094, Ташкент, ЯШНАБАДСКИЙ РАЙОН, ул. МУЙНАК, 135",2.625600311
CLASSIC BUILDING COMMUNAL ООО,Автомобили,"Узбекистан, 100022, Ташкент, ЯККАСАРАЙСКИЙ РАЙОН, м-в БАШЛЫК, 25, офис 1",4.995328597
GULISTON BOGI ТЧСЖ,Автомобили,"Узбекистан, 100085, Ташкент, СЕРГЕЛИЙСКИЙ РАЙОН, м-в СЕРГЕЛИ-7, 5",4.308304735
HABIB ABDULLAEV UCHINCHI KOMMUNALCHI ТЧСЖ,Автомобили,"Узбекистан, 100025, Ташкент, МИРЗО-УЛУГБЕКСКИЙ РАЙОН, м-в ЯЛАНГАЧ, 30 А",2.086498303
KOMRONBEK KOMMUNALCHI ТЧСЖ,Автомобили,"Узбекистан, 100124, Ташкент, МИРЗО-УЛУГБЕКСКИЙ РАЙОН, м-в ФЕРУЗА, 15/2",4.569857771
MOSHTABIB KOMMUNAL ТЧСЖ,Автомобили,"Узбекистан, 100060, Ташкент, МИРАБАДСКИЙ РАЙОН, ул. МОШТАБИБ, 1",4.458532619
NIGSA KOMMUNAL ТЧСЖ,Автомобили,"Узбекистан, 100105, Ташкент, МИРАБАДСКИЙ РАЙОН, ул. ТОЛЛИМАРЖОН, 8 А",1.138363378
OLMAS KOMMUNAL SERVIS ТЧСЖ,Автомобили,"Узбекистан, 100105, Ташкент, МИРАБАДСКИЙ РАЙОН, ул. 8 МАРТА, 57",2.539905797
OQIBAT SERVIS KOMMUNAL ТЧСЖ,Автомобили,"Узбекистан, 100209, Ташкент, СЕРГЕЛИЙСКИЙ РАЙОН, м-в СЕРГЕЛИ-4, 16",2.237349462
QO'SHNILAR ТЧСЖ,Автомобили,"Узбекистан, 100017, Ташкент, ЮНУСАБАДСКИЙ РАЙОН, м-в КИЁТ, 2 А",4.544455832
QURUVCHI KOMMUNAL BIRINCHI ТЧСЖ,Автомобили,"Узбекистан, Ташкент, ЮНУСАБАДСКИЙ РАЙОН, м-в ЮНУСАБАД-7, 20 Б",1.467078902
METEOR BUSINESS ЧП,Автомобили,"Узбекистан, Ташкент, МИРАБАДСКИЙ РАЙОН, пр. 1-й КАТТА МИРАБАД, 4, офис 98",3.48221146
TEMIR YO'LCHI KOMMUNAL SERVIS ТЧСЖ,Автомобили,"Узбекистан, 100111, Ташкент, АЛМАЗАРСКИЙ РАЙОН, ул. ЧУКУРСОЙ, 20/7",2.854596512
TOR AMIROBOD SERVIS ТЧСЖ,Автомобили,"Узбекистан, 100167, Ташкент, МИРАБАДСКИЙ РАЙОН, ул. ТЕМИРЙУЛЧИЛАР, 30",3.081766573
YANGI FERUZA KOMMUNAL ТЧСЖ,Автомобили,"Узбекистан, Ташкент, МИРЗО-УЛУГБЕКСКИЙ РАЙОН, просп. МИРЗО УЛУГБЕКА, 128 А",3.968242469
YANGI HAYOT KOMMUNAL BIRINCHI ТЧСЖ,Автомобили,"Узбекистан, Ташкент, МИРЗО-УЛУГБЕКСКИЙ РАЙОН, м-в ЯЛАНГАЧ, 30 А",4.695754531
YODGOR PLYUS KOMMUNAL ТЧСЖ,Автомобили,"Узбекистан, 100015, Ташкент, МИРАБАДСКИЙ РАЙОН, ул. ГОСПИТАЛЬНАЯ, 2",3.746256421
YOSH KOMMUNALCHI SERVIS ООО,Автомобили,"Узбекистан, 100156, Ташкент, ЧИЛАНЗАРСКИЙ РАЙОН, м-в ЧИЛАНЗАР-19, 32",3.549559446
INFINITY CONSULTING GROUP,Автомобили,"Узбекистан, Ташкент, ЯШНАБАДСКИЙ РАЙОН, ул. АВИАСОЗЛАР-4, 54",4.676902986
BARAKACARD ООО,Автомобили,"Узбекистан, 100031, Ташкент, МИРАБАДСКИЙ РАЙОН, ул. АФРОСИАБ, 12 Б",1.13240177
WEBLINE ООО,Автомобили,"Узбекистан, Ташкент, МИРЗО-УЛУГБЕКСКИЙ РАЙОН, ул. АСАКА, 15",3.011422647
ОРГАН ОПЕКИ И ПОПЕЧИТЕЛЬСТВА ЮНУСАБАДСКОГО РАЙОНА,Автомобили,"Узбекистан, Ташкент, ЮНУСАБАДСКИЙ РАЙОН, ул. ЗАРИПОВА, 7",2.085857705
SHAMS BEK MEDIKAL SERVIS АПТЕКА,Автомобили,"Узбекистан, Ташкент, ЯШНАБАДСКИЙ РАЙОН, ул. БОТКИНА, 111",1.628938011
"ВРАЧЕБНО-ТРУДОВАЯ ЭКСПЕРТНАЯ КОМИССИЯ (ВТЭК) СЕРГЕЛИЙСКОГО, БЕКТЕМИРСКОГО И МИРАБАДСКОГО РАЙОНОВ",Автомобили,"Узбекистан, Ташкент, СЕРГЕЛИЙСКИЙ РАЙОН, м-в СПУТНИК-5, 24",4.847357034
ТИРСАКАБОД МАХАЛЛИНСКИЙ КОМИТЕТ,Автомобили,"Узбекистан, 100149, Ташкент, ЧИЛАНЗАРСКИЙ РАЙОН, пр. 2-й ТИРСАКОБОД, 7",2.617348436
Центральная клиническая больница № 2 МСО РУ(Правительственный стационар №2),Автомобили,"ул. Ашхабадская, 3",1.673465046
ЦЕНТРАЛЬНЫЙ ВОЕННЫЙ ГОСПИТАЛЬ СЛУЖБЫ НАЦИОНАЛЬНОЙ БЕЗОПАСНОСТИ РЕСПУБЛИКИ УЗБЕКИСТАН,Автомобили,"Узбекистан, 100078, Ташкент, АЛМАЗАРСКИЙ РАЙОН, м-в КАРАКАМЫШ-2/4, 3",2.593379664
VETXIZMAT-AL-TOVFIK ООО,Автомобили,"Узбекистан, Ташкент, МИРАБАДСКИЙ РАЙОН, ул. ЯНГИ КУЙЛЮК, 16 Б",4.140462527
SHAFTOLIZOR МАХАЛЛИНСКИЙ КОМИТЕТ,Автомобили,"Узбекистан, 100132, Ташкент, УЧТЕПИНСКИЙ РАЙОН, пр. 1-й ШОИР, 86",3.479330939
Баркамол Авлод филиал Чиланзар,Автомобили,"улица Катта Хирмонтепа, 43А",2.566550022
АССОЦИАЦИЯ ТРЕТЕЙСКИХ СУДОВ РЕСПУБЛИКИ УЗБЕКИСТАН,Автомобили,"Узбекистан, 100129, Ташкент, ШАЙХАНТАХУРСКИЙ РАЙОН, просп. НАВОИ, 30",2.133650624
РМО БЕКТЕМИРСКОГО РАЙОНА,Автомобили,"Узбекистан, Ташкент, БЕКТЕМИРСКИЙ РАЙОН, м-в СУВСОЗ, 75",3.890195233
PHARMCLUB O`ZBEKISTON АССОЦИАЦИЯ,Автомобили,"Узбекистан, Ташкент, ЮНУСАБАДСКИЙ РАЙОН, ул. ОСИЁ, 89 А",3.960691934
УПРАВЛЕНИЕ ПО ДЕЛАМ ОБОРОНЫ г. ТАШКЕНТА,Автомобили,"Узбекистан, 100031, Ташкент, ЯККАСАРАЙСКИЙ РАЙОН, ул. МИРАБАДСКАЯ, 4",1.986971836
Клиника Доктор Толганой Сервис,Автомобили,"ул. Мухаммада Юсуфа, 64",3.598833619
PERESADKAVOLOS.UZ,Автомобили,"Узбекистан, Ташкент, АЛМАЗАРСКИЙ РАЙОН, ул. ФАРОБИ, 3",2.104056548
QAXXOR MUSHTARY BONU ЧАСТНАЯ КЛИНИКА,Автомобили,"Узбекистан, 100102, Ташкент, СЕРГЕЛИЙСКИЙ РАЙОН, м-в СПУТНИК-5, 3/1",3.434030553
GELEOS-LOTOS ООО,Автомобили,"Узбекистан, 100104, Ташкент, МИРАБАДСКИЙ РАЙОН, ул. ФАРГОНА ЙУЛИ, 32",4.396116837
AUTOZONE ЧП,Автомобили,"Узбекистан, 100105, Ташкент, МИРАБАДСКИЙ РАЙОН, ул. ТОЛЛИМАРЖОН, 135",4.001310198
EQUIMED ООО,Автомобили,"Юнусабадский р-н., ул. Шахристан, 79",2.251316642
ORDAMED ООО,Автомобили,"Узбекистан, Ташкент, МИРАБАДСКИЙ РАЙОН, ул. НУКУССКАЯ, 85/1",3.843917596
PROBIRKA.UZ,Автомобили,"Узбекистан, Ташкент, ЧИЛАНЗАРСКИЙ РАЙОН, просп. БУНЁДКОР, 29",4.855931798
PROFI SCHOOL ЧАСТНАЯ ШКОЛА Мирабад,Автомобили,"Узбекистан, Ташкент, ул. АБУ СУЛЕЙМАНА БАНОКАТИ, 17",2.990665093
ARTIKOV-LOR SERVIS ООО,Автомобили,"Узбекистан, 100131, Ташкент, УЧТЕПИНСКИЙ РАЙОН, м-в ЧИЛАНЗАР-26, 24, офис 87",4.774609356
Nur Med Servis,Автомобили,"м-в Чиланзар-17, 33/2",4.193048079
DISCOVERY EDUCATION GROUP ООО,Автомобили,"Узбекистан, Ташкент, ЯККАСАРАЙСКИЙ РАЙОН, ул. НУКУССКАЯ, 57",4.933421711
САМАТХАНОВ Ю. ИндП,Автомобили,"Узбекистан, 100002, Ташкент, АЛМАЗАРСКИЙ РАЙОН, ул. КАРАСАРАЙСКАЯ, 47",2.590111187
АССОЦИАЦИЯ ПСИХОЛОГОВ УЗБЕКИСТАНА ННО,Автомобили,"Узбекистан, Ташкент, ЧИЛАНЗАРСКИЙ РАЙОН, просп. БУНЁДКОР, 42",2.937930961
СЭС Мирзо-Улугбекского района,Автомобили,"ул. Карнок, 1А",1.82972638
GOLD PLASTIC FORMATION ЧП,Автомобили,"Узбекистан, 100161, Ташкент, ЧИЛАНЗАРСКИЙ РАЙОН, ул. ЧОРБОГ, 27",4.483677621
Семейная стоматология ИРОДА,Автомобили,"Юнусабад-8, ул. Қулоқтепа, № 2-А",2.076077498
SIRIUS DENT СТОМАТОЛОГИЯ,Автомобили,"Узбекистан, 100084, Ташкент, ЮНУСАБАДСКИЙ РАЙОН, ул. АМИРА ТЕМУРА, 102, офис 1",2.077777499
СОЮЗ МОЛОДЕЖИ УЗБЕКИСТАНА ЯККАСАРАЙСКОЕ ОТДЕЛЕНИЕ,Автомобили,"Узбекистан, Ташкент, ЯККАСАРАЙСКИЙ РАЙОН, ул. КУШБЕГИ, 8",3.564618909
UNITED MARKETING GROUP ЧП,Автомобили,"Узбекистан, Ташкент, АЛМАЗАРСКИЙ РАЙОН, ул. ШИРОК, 100",1.02531086
RENESANS BROK ЧП,Автомобили,"Узбекистан, Ташкент, АЛМАЗАРСКИЙ РАЙОН, ул. ЧУКУРСОЙ, 41/153",3.177613857
MEGA-ELECTRO ЧП,Автомобили,"Узбекистан, 100043, Ташкент, АЛМАЗАРСКИЙ РАЙОН, ул. КАРАСАРАЙСКАЯ, 314 А",4.892487357
KONVEKA ТМ,Автомобили,"Узбекистан, 100007, Ташкент, МИРЗО-УЛУГБЕКСКИЙ РАЙОН, ул. ПАРКЕНТСКАЯ, 199",3.045375005
MAXSUSGIDROENERGOMONTAJ УП,Автомобили,"Узбекистан, 100131, Ташкент, УЧТЕПИНСКИЙ РАЙОН, м-в ЧИЛАНЗАР-26, 3 А",4.469246231
ДЕТСКИЙ САД №167,Автомобили,"Узбекистан, Ташкент, ЧИЛАНЗАРСКИЙ РАЙОН, ул. СЕРКУЁШ,",1.813327883
ДЕТСКИЙ САД №294 (ГУНЧА),Автомобили,"Узбекистан, Ташкент, ЧИЛАНЗАРСКИЙ РАЙОН, м-в ЧИЛАНЗАР-3,",3.033288175
ДЕТСКИЙ САД №449,Автомобили,"Узбекистан, 100011, Ташкент, АЛМАЗАРСКИЙ РАЙОН, ул. КАРАСАРАЙСКАЯ, 359",2.971267639
TRANS EKO ЧП,Автомобили,"Узбекистан, 100084, Ташкент, ЮНУСАБАДСКИЙ РАЙОН, ул. ЧИНГИЗА АЙТМАТОВА, 1",3.015680597
RISE SCHOOL УЧЕБНЫЙ ЦЕНТР,Автомобили,"Узбекистан, Ташкент, ЮНУСАБАДСКИЙ РАЙОН, ул. ЗАРАФШАН, 17",2.874084187
ОБЩЕОБРАЗОВАТЕЛЬНАЯ СРЕДНЯЯ ШКОЛА № 65,Автомобили,"Узбекистан, Ташкент, МИРАБАДСКИЙ РАЙОН, ул. 4-я САРИКУЛ, 1",1.955572767
LAVINI МАГАЗИН №10,Автомобили,"Узбекистан, 100007, Ташкент, МИРЗО-УЛУГБЕКСКИЙ РАЙОН, ул. ПАРКЕНТСКАЯ, 1, офис 119",2.308798658
АТС №237,Автомобили,"Узбекистан, Ташкент, ЮНУСАБАДСКИЙ РАЙОН, пл. ХАМИДА АЛИМДЖАНА, 10",2.052570682
BEST GO СЛУЖБА ДОСТАВКИ,Автомобили,"Узбекистан, Ташкент, ЧИЛАНЗАРСКИЙ РАЙОН, ул. БУНЁДКОР, 52 А",1.482704084
IIKO-SOFT ООО,Автомобили,"Узбекистан, Ташкент, ЧИЛАНЗАРСКИЙ РАЙОН, просп. БУНЁДКОР, 1",1.631923228
ROAD POWER GROUP ООО,Автомобили,"Узбекистан, Ташкент, АЛМАЗАРСКИЙ РАЙОН, ул. ЧИМБАЙ, 6, офис 9",2.019783795
REAL PAPER BUSINESS ЧП,Автомобили,"Узбекистан, Ташкент, АЛМАЗАРСКИЙ РАЙОН, ул. ТУРККУРГОН, 69",4.817946401
LOCAL SERVICE GROUP ООО,Автомобили,"Узбекистан, Ташкент, ЯККАСАРАЙСКИЙ РАЙОН, м-в КУШБЕГИ, 18",4.274753882
